"old1","old2","lat","long"
791073.2497,9483414.2087,-4.66870009724203,29.6235405302593
791083.5775,9483444.1238,-4.66842940141548,29.623632547312
791101.2249,9483503.9559,-4.66788809405465,29.6237894866217
791104.0206,9483526.8941,-4.66768070354134,29.623813896836
791108.8468,9483564.792,-4.66733805133646,29.6238560931904
791108.9399,9483620.6459,-4.66683328731568,29.6238550558768
791104.0378,9483687.4745,-4.66622951141079,29.6238086588892
791099.5101,9483753.3054,-4.66563473921672,29.6237656679526
791096.7487,9483826.117,-4.66497682173444,29.6237383519292
791084.5602,9483882.9763,-4.66446338527104,29.6236266628061
791080.1012,9483914.8958,-4.66417507357302,29.6235854297816
791078.3681,9483927.8631,-4.66405794427188,29.6235693847522
791082.4139,9483948.8057,-4.66386854626269,29.6236051220157
791092.9741,9483967.7493,-4.66369699421162,29.6236996008319
791104.0489,9483994.6718,-4.66345331820298,29.6237984468018
791119.8589,9484042.5364,-4.66302022556814,29.6239392393506
791134.5292,9484083.4199,-4.66265026071585,29.6240700009852
791141.0141,9484101.3688,-4.66248783522818,29.6241278073458
791157.3388,9484157.2122,-4.66198261969661,29.6242729679074
791172.6131,9484222.0329,-4.66139631029321,29.6244083664484
791180.9737,9484274.8893,-4.66091835701647,29.624481895787
791185.1914,9484323.7588,-4.66047657348589,29.6245182445136
791195.3201,9484384.5933,-4.65992646140166,29.6246074313948
791199.6975,9484416.507,-4.6596379048417,29.6246457874376
791212.8277,9484473.3499,-4.65912376456778,29.6247621423161
791227.9616,9484529.1941,-4.65861858234989,29.6248965776694
791253.1804,9484582.0395,-4.6581401614914,29.6251219463195
791274.8187,9484629.9003,-4.65770690781636,29.6253152331287
791280.3109,9484653.8342,-4.65749042862037,29.6253638976241
791281.3846,9484658.8205,-4.65744533052176,29.6253734010049
791290.7197,9484694.7206,-4.65712058162898,29.6254562764329
791320.6027,9484763.5213,-4.65649781362698,29.6257231191001
791358.4137,9484851.2673,-4.65570356749949,29.626060731955
791384.5792,9484908.1017,-4.65518906616247,29.6262944927328
791411.0003,9484967.9281,-4.65464751718694,29.6265304551427
791440.5866,9485046.703,-4.65393462147642,29.6267942902114
791477.4409,9485124.4757,-4.65323053849018,29.6271236196
791508.127,9485186.2941,-4.65267084447988,29.6273979282835
791530.0093,9485230.1652,-4.65227363902812,29.6275935451292
791534.8271,9485263.0761,-4.65197605652306,29.627635834326
791541.0897,9485297.9808,-4.65166040718549,29.6276910696058
791545.6418,9485321.9152,-4.65144395554059,29.6277312666893
791569.6139,9485378.7511,-4.65092951529471,29.6279452709431
791584.2565,9485440.58,-4.65037026649512,29.6280750798313
791585.8465,9485454.5424,-4.6502440328856,29.6280889324719
791591.89,9485508.3978,-4.64975713097208,29.6281415593315
791605.2692,9485564.2431,-4.64925199942488,29.6282601898485
791625.5387,9485618.0891,-4.64876470421373,29.6284409459907
791633.1123,9485650.0008,-4.64847605919947,29.6285080894547
791636.2675,9485662.9649,-4.64835879478618,29.6285360728372
791638.3511,9485709.841,-4.64793509907841,29.6285532683784
791638.4027,9485740.7602,-4.64765567635146,29.6285526971579
791645.6579,9485769.6799,-4.64739408121509,29.6286170732467
791656.8004,9485799.5944,-4.64712336528146,29.6287164275203
791662.885,9485840.4836,-4.64675363956367,29.6287698594433
791666.3917,9485876.3875,-4.64642905334167,29.6288002402283
791670.3488,9485919.2729,-4.64604135924491,29.6288344437959
791676.3839,9485968.1412,-4.6455995270621,29.6288871628084
791693.3797,9486013.0129,-4.64519344437164,29.6290387345413
